,taxonID,count,model
9,PITA,108049.0,6d45510824d6442c987b500a156b77d6
10,QUGE2,264977.0,6d45510824d6442c987b500a156b77d6
11,QUHE2,466830.0,6d45510824d6442c987b500a156b77d6
12,QULA2,163902.0,6d45510824d6442c987b500a156b77d6
13,QUNI,63972.0,6d45510824d6442c987b500a156b77d6
14,QUVI,128402.0,6d45510824d6442c987b500a156b77d6
0,ACRU,11879.0,83f6ede4f90b44ebac6c1ac271ea0939
1,CAGL8,30283.0,83f6ede4f90b44ebac6c1ac271ea0939
2,DEAD,84504.0,83f6ede4f90b44ebac6c1ac271ea0939
3,LIST2,48158.0,83f6ede4f90b44ebac6c1ac271ea0939
4,MAGNO,1280.0,83f6ede4f90b44ebac6c1ac271ea0939
5,NYSY,97829.0,83f6ede4f90b44ebac6c1ac271ea0939
6,PICL,72874.0,83f6ede4f90b44ebac6c1ac271ea0939
7,PIEL,90235.0,83f6ede4f90b44ebac6c1ac271ea0939
8,PIPA2,886505.0,83f6ede4f90b44ebac6c1ac271ea0939
9,PITA,114698.0,83f6ede4f90b44ebac6c1ac271ea0939
10,QUGE2,262176.0,83f6ede4f90b44ebac6c1ac271ea0939
11,QUHE2,477228.0,83f6ede4f90b44ebac6c1ac271ea0939
12,QULA2,175918.0,83f6ede4f90b44ebac6c1ac271ea0939
13,QUNI,99160.0,83f6ede4f90b44ebac6c1ac271ea0939
14,QUVI,93598.0,83f6ede4f90b44ebac6c1ac271ea0939
0,ACRU,5577.0,47ee5858b1104214be178389c13bd025
1,CAGL8,35749.0,47ee5858b1104214be178389c13bd025
2,DEAD,84695.0,47ee5858b1104214be178389c13bd025
3,LIST2,47882.0,47ee5858b1104214be178389c13bd025
4,MAGNO,3012.0,47ee5858b1104214be178389c13bd025
5,NYSY,130216.0,47ee5858b1104214be178389c13bd025
6,PICL,75018.0,47ee5858b1104214be178389c13bd025
7,PIEL,109637.0,47ee5858b1104214be178389c13bd025
8,PIPA2,922951.0,47ee5858b1104214be178389c13bd025
9,PITA,106718.0,47ee5858b1104214be178389c13bd025
10,QUGE2,252265.0,47ee5858b1104214be178389c13bd025
11,QUHE2,393116.0,47ee5858b1104214be178389c13bd025
12,QULA2,174328.0,47ee5858b1104214be178389c13bd025
13,QUNI,113940.0,47ee5858b1104214be178389c13bd025
14,QUVI,91221.0,47ee5858b1104214be178389c13bd025
